gname	eventid	iyear	imonth	iday	country_txt	region_txt	latitude	longitude	crit1	crit2	crit3	doubtterr	alternative_txt	success	suicide	attacktype1_txt	targtype1_txt	natlty1_txt	nperps	nperpcap	weaptype1_txt	nkill	nkillus	nkillter	nwound	nwoundus	nwoundte	property	propvalue	ishostkid	nhostkid	ransom	galias
Basque Fatherland and Freedom (ETA)	197903170004	1979	3	17	Spain	Western Europe	43.22048	-2.021122	1	1	0	-9	NA	1	0	Armed Assault	Police	Spain	NA	NA	Firearms	0	NA	NA	0	NA	NA	1	1000	0	NA	0	ETA
Basque Fatherland and Freedom (ETA)	197505070001	1975	5	7	Spain	Western Europe	43.256963	-2.923441	1	1	1	-9	NA	1	0	Assassination	Police	Spain	2	NA	Firearms	1	NA	NA	0	NA	NA	0	NA	0	NA	0	ETA
Basque Fatherland and Freedom (ETA)	197505100003	1975	5	10	Spain	Western Europe	43.256963	-2.923441	1	1	1	-9	NA	1	0	Armed Assault	Business	Spain	NA	NA	Firearms	0	NA	NA	0	NA	NA	1	1000	0	NA	0	ETA
Basque Fatherland and Freedom (ETA)	197712030009	1977	12	3	Spain	Western Europe	43.32412	-1.929857	1	1	1	-9	NA	0	0	Bombing/Explosion	Police	Spain	NA	NA	Explosives/Bombs/Dynamite	0	NA	NA	0	NA	NA	0	NA	0	NA	0	ETA
Basque Fatherland and Freedom (ETA)	198910140005	1989	10	14	France	Western Europe	43.387537	-1.675432	1	1	1	-9	NA	1	0	Facility/Infrastructure Attack	Business	France	NA	NA	Incendiary	0	NA	NA	0	NA	NA	1	NA	0	NA	0	ETA
Basque Fatherland and Freedom (ETA)	198206060001	1982	6	6	Spain	Western Europe	43.32412	-1.929857	1	1	1	-9	NA	1	0	Bombing/Explosion	Utilities	Spain	NA	NA	Explosives/Bombs/Dynamite	0	NA	NA	0	NA	NA	1	NA	0	NA	0	ETA
Basque Fatherland and Freedom (ETA)	197505140001	1975	5	14	Spain	Western Europe	43.320812	-1.984447	1	1	1	-9	NA	1	0	Armed Assault	Business	Spain	NA	NA	Firearms	0	NA	NA	0	NA	NA	1	NA	0	NA	0	ETA
Basque Fatherland and Freedom (ETA)	197712030008	1977	12	3	Spain	Western Europe	43.325239	-3.011475	1	1	1	-9	NA	1	0	Bombing/Explosion	Utilities	Spain	3	NA	Explosives/Bombs/Dynamite	0	NA	NA	0	NA	NA	1	3000	0	NA	0	ETA
Basque Fatherland and Freedom (ETA)	197505150001	1975	5	15	Spain	Western Europe	43.317073	-2.678975	1	1	0	-9	NA	1	0	Assassination	Police	Spain	2	NA	Firearms	1	NA	NA	0	NA	NA	0	NA	0	NA	0	ETA
Basque Fatherland and Freedom (ETA)	199007060013	1990	7	6	Spain	Western Europe	43.003305	-2.612578	1	1	1	-9	NA	1	0	Bombing/Explosion	Business	Spain	NA	NA	Explosives/Bombs/Dynamite	0	NA	NA	0	NA	NA	1	NA	0	NA	0	ETA
Basque Fatherland and Freedom (ETA)	197812090001	1978	12	9	Spain	Western Europe	NA	NA	1	1	1	-9	NA	1	0	Assassination	Police	Spain	2	NA	Firearms	1	NA	NA	1	NA	NA	0	NA	0	NA	0	ETA
Basque Fatherland and Freedom (ETA)	197805280004	1978	5	28	Spain	Western Europe	43.136978	-2.073914	1	1	1	-9	NA	1	0	Bombing/Explosion	Police	Spain	NA	NA	Explosives/Bombs/Dynamite	NA	NA	NA	3	NA	NA	1	3000	0	NA	0	ETA
Basque Fatherland and Freedom (ETA)	198910150004	1989	10	15	Spain	Western Europe	43.230556	-2.845833	1	1	1	-9	NA	1	0	Bombing/Explosion	Business	Spain	NA	NA	Explosives/Bombs/Dynamite	0	NA	NA	0	NA	NA	1	NA	0	NA	0	ETA
Basque Fatherland and Freedom (ETA)	197812090002	1978	12	9	Spain	Western Europe	43.320812	-1.984447	1	1	1	-9	NA	1	0	Hostage Taking (Kidnapping)	Business	Spain	NA	NA	NA	0	NA	NA	1	NA	NA	0	NA	1	1	0	ETA
Basque Fatherland and Freedom (ETA)	197805280002	1978	5	28	Spain	Western Europe	43.136978	-2.073914	1	1	0	-9	NA	0	0	Assassination	Police	Spain	NA	NA	Explosives/Bombs/Dynamite	0	NA	NA	3	NA	NA	0	NA	0	NA	0	ETA
Basque Fatherland and Freedom (ETA)	198011030012	1980	11	3	Spain	Western Europe	43.280364	-2.171588	1	1	0	-9	NA	1	0	Armed Assault	Business	Spain	2	NA	Firearms	5	NA	NA	5	NA	NA	1	5000	0	NA	0	ETA
Basque Fatherland and Freedom (ETA)	198001150015	1980	1	15	Spain	Western Europe	43.256963	-2.923441	1	1	1	-9	NA	1	0	Armed Assault	Business	Spain	NA	NA	Firearms	0	NA	NA	0	NA	NA	1	NA	0	NA	0	ETA
Basque Fatherland and Freedom (ETA)	198512230015	1985	12	23	Spain	Western Europe	42.817988	-1.644184	1	1	1	-9	NA	1	0	Assassination	Police	Spain	2	NA	Firearms	1	NA	NA	0	NA	NA	0	NA	0	NA	0	ETA
Basque Fatherland and Freedom (ETA)	198605030004	1986	5	3	Spain	Western Europe	43.320812	-1.984447	1	1	1	-9	NA	1	0	Assassination	Private Citizens & Property	Spain	NA	NA	Firearms	1	NA	NA	0	NA	NA	0	NA	0	NA	0	ETA
Basque Fatherland and Freedom (ETA)	198412070001	1984	12	7	Spain	Western Europe	43.230556	-2.845833	1	1	0	-9	NA	1	0	Bombing/Explosion	Military	Spain	NA	NA	Explosives/Bombs/Dynamite	3	NA	NA	11	NA	NA	1	NA	0	NA	0	ETA
Basque Fatherland and Freedom (ETA)	199404040004	1994	4	4	Spain	Western Europe	43.256963	-2.923441	1	1	0	-9	NA	1	0	Assassination	Police	Spain	NA	NA	Explosives/Bombs/Dynamite	1	NA	NA	0	NA	NA	0	NA	0	NA	0	ETA
Basque Fatherland and Freedom (ETA)	197803010007	1978	3	1	Spain	Western Europe	42.817988	-1.644184	1	1	1	-9	NA	1	0	Bombing/Explosion	Utilities	Spain	NA	NA	Explosives/Bombs/Dynamite	0	NA	NA	0	NA	NA	1	7000	0	NA	0	ETA
Basque Fatherland and Freedom (ETA)	197806060003	1978	6	6	Spain	Western Europe	42.817988	-1.644184	1	1	1	-9	NA	1	0	Bombing/Explosion	Government (General)	Spain	NA	NA	Explosives/Bombs/Dynamite	0	NA	NA	0	NA	NA	1	2000	0	NA	0	ETA
Basque Fatherland and Freedom (ETA)	199108030023	1991	8	3	Spain	Western Europe	42.846718	-2.671635	1	1	0	-9	NA	1	0	Bombing/Explosion	Military	Spain	2	NA	Firearms	0	NA	NA	0	NA	NA	1	NA	0	NA	0	ETA
Basque Fatherland and Freedom (ETA)	197903170002	1979	3	17	Spain	Western Europe	43.256963	-2.923441	1	1	1	-9	NA	1	0	Assassination	Military	Spain	3	NA	Firearms	1	NA	NA	0	NA	NA	0	NA	0	NA	0	ETA
Basque Fatherland and Freedom (ETA)	197802060002	1978	2	6	Spain	Western Europe	42.085135	-4.434511	1	1	1	-9	NA	1	0	Bombing/Explosion	Telecommunication	Spain	NA	NA	Explosives/Bombs/Dynamite	0	NA	NA	0	NA	NA	1	130000	0	NA	0	ETA
Basque Fatherland and Freedom (ETA)	199204230016	1992	4	23	Spain	Western Europe	43.338233	-1.789272	1	1	1	-9	NA	1	0	Armed Assault	Police	Spain	2	NA	Firearms	1	NA	NA	0	NA	NA	1	NA	0	NA	0	ETA
Basque Fatherland and Freedom (ETA)	198211140003	1982	11	14	Spain	Western Europe	43.090476	-2.31322	1	1	1	-9	NA	1	0	Hostage Taking (Kidnapping)	Business	Spain	2	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	1	1	0	ETA
Basque Fatherland and Freedom (ETA)	197803010006	1978	3	1	Spain	Western Europe	42.846718	-2.671635	1	1	1	-9	NA	1	0	Bombing/Explosion	Business	Spain	NA	NA	Explosives/Bombs/Dynamite	0	NA	NA	0	NA	NA	1	300	0	NA	0	ETA
Basque Fatherland and Freedom (ETA)	199401250004	1994	1	25	Spain	Western Europe	43.256963	-2.923441	1	1	1	-9	NA	1	0	Bombing/Explosion	Business	Spain	NA	NA	Explosives/Bombs/Dynamite	0	NA	NA	0	NA	NA	1	NA	0	NA	0	ETA
Basque Fatherland and Freedom (ETA)	197711260001	1977	11	26	Spain	Western Europe	42.817988	-1.644184	1	1	1	-9	NA	1	0	Assassination	Police	Spain	2	NA	Firearms	1	NA	NA	0	NA	NA	0	NA	0	NA	0	ETA
Basque Fatherland and Freedom (ETA)	198608180007	1986	8	18	Spain	Western Europe	38.72602	-7.213667	1	1	1	-9	NA	1	0	Assassination	Military	Spain	2	NA	Firearms	1	NA	NA	0	NA	NA	0	NA	0	NA	0	ETA
Basque Fatherland and Freedom (ETA)	198812230002	1988	12	23	Spain	Western Europe	43.143332	-2.962985	1	1	0	-9	NA	1	0	Bombing/Explosion	Police	Spain	NA	NA	Explosives/Bombs/Dynamite	0	NA	NA	2	NA	NA	1	NA	0	NA	0	ETA
Basque Fatherland and Freedom (ETA)	197904050011	1979	4	5	Spain	Western Europe	42.817988	-1.644184	1	1	1	-9	NA	1	0	Bombing/Explosion	Business	Spain	NA	NA	Explosives/Bombs/Dynamite	1	NA	NA	0	NA	NA	1	5000	0	NA	0	ETA
