gname	totalEvents	totalKilled	totalWounded	foreignTarget	ratioForeignTarget
1 May	10	2	0	4	0.4
14 K Triad	4	0	0	4	1
14 March Coalition	1	5	80	0	0
14th of December Command	3	0	0	2	0.666666666666667
15th of September Liberation Legion	1	0	1	0	0
16 January Organization for the Liberation of Tripoli	24	1	32	22	0.916666666666667
1920 Revolution Brigades	2	15	19	2	1
19th of July Christian Resistance Brigade	1	1	0	0	0
1st of May Group	4	0	0	2	0.5
2 April Group	6	0	1	4	0.666666666666667
20 December Movement (M-20)	16	1	14	5	0.3125
22 May 1948	1	0	1	0	0
23 May Democratic Alliance (Algeria)	3	0	0	1	0.333333333333333
23rd of September Communist League	44	72	14	8	0.181818181818182
28 February Armed Group	1	0	0	0	0
28 May Armenian Organization	2	5	52	0	0
28s	1	0	0	0	0
28th of December Group	2	0	0	0	0
2nd of June Movement	14	5	3	13	0.928571428571429
31 January People's Front (FP-31)	17	0	20	2	0.117647058823529
4 August National Organization	2	0	0	2	1
7 April Libyan Organization	3	0	0	3	1
9 February	21	11	15	19	0.904761904761905
9 May People's Liberation Force	4	0	1	0	0
A Resistance Group	1	0	0	1	1
Abd al-Krim Commandos	2	0	2	0	0
Abdullah Azzam Brigades	6	131	283	4	0.666666666666667
Abida Tribe	1	0	0	1	1
Abkhazian guerrillas	2	15	0	0	0
Abkhazian Separatists	5	58	42	1	0.2
Abstentionist Brigades	2	0	0	0	0
Abu Hafs al-Masri Brigades	11	198	1835	0	0
Abu Hassan	1	2	7	0	0
Abu Musa Group	1	0	0	1	1
Abu Nidal Organization (ANO)	51	278	499	33	0.647058823529412
Abu Sayyaf Group (ASG)	202	526	1071	22	0.108910891089109
Achik National Volunteer Council (ANVC)	1	5	2	0	0
Achwan-I-Mushbani	1	1	3	1	1
Actiefront Nationalistisch Nederland	2	0	0	0	0
Action Directe	55	6	76	12	0.218181818181818
Action Front for the Liberation of the Baltic Countries	2	0	0	1	0.5
Action Front Nationalist Librium	1	0	0	1	1
Action Group for Communism	1	0	0	1	1
Action Group for the Destruction of the Police State	1	2	0	0	0
Action Struggle Against the World	1	0	0	0	0
Active Espirit de Corps of the Argentina Army	1	0	0	0	0
Activists	4	3	20	0	0
Adan Abyan Islamic Army (AAIA)	2	2	19	0	0
Adivasi Cobra Militants of Assam (ACMA)	1	0	0	0	0
Adivasi National Liberation Army (ANLA)	4	6	5	0	0
Adivasi People’s Army (APA)	2	0	101	0	0
Afar rebels	1	1	1	1	1
Afar Revolutionary Democratic Unity Front	1	0	0	1	1
AFB	1	0	0	0	0
Afghan Guerrillas	8	32	35	1	0.125
Afghan Merceneries	1	7	0	0	0
Afghan Mujahideen	7	12	21	0	0
Afghan Rebels	3	27	13	2	0.666666666666667
Afghan War Veterans	1	0	0	0	0
Afghans	4	43	130	1	0.25
Africa Marine Commando	5	7	2	2	0.4
African National Congress (South Africa)	606	633	1628	11	0.0181518151815182
Afridi Tribe	1	1	0	0	0
Afrikaner Resistance Movement (AWB)	5	6	53	1	0.2
AGEL	1	0	0	0	0
Aghwar "Fire War" Group	1	0	0	1	1
Agudat Israel Party	1	0	1	0	0
Ahlu-sunah Wal-jamea (Somalia)	3	15	0	1	0.333333333333333
Ahmad Alawi al Muqbili	1	0	0	0	0
Ahmad Jibril	1	98	160	1	1
Ahrar Al-Jalil (Free People of the Galilee)	4	8	58	1	0.25
Aibed Er-Rahman katibet	1	0	3	0	0
Aidid Militia	1	0	0	1	1
Air and Azawak Liberation Front	3	3	0	0	0
Airport Protesters	2	0	50	0	0
Aitarak Militia	1	0	0	1	1
Akali Dal Party	2	5	12	0	0
Akhil Terai Mukti Morcha (ATMM)	7	4	5	0	0
Akhilesh Singh Gang	1	5	3	0	0
Al Borkan Liberation Organization	2	1	1	2	1
Al Faran	2	1	0	1	0.5
Al Hadid	2	0	0	2	1
Al Jehad	3	1	0	1	0.333333333333333
Al Jihad	10	30	97	1	0.1
Al Nasirin (India)	1	0	1	0	0
Al Zawahiri Loyalists	1	0	0	1	1
Al Zulfikar	8	17	12	0	0
Al-Adl Wal Ihsane	5	3	12	1	0.2
al-Ahwaz Arab People's Democratic Front	3	10	19	0	0
Al-Aqsa Martyrs Brigade	156	274	951	70	0.448717948717949
Al-Arifeen	4	6	51	0	0
Al-Badr	2	2	0	0	0
Al-Bakazim	2	0	0	1	0.5
al-Da'wah Party	1	2	1	0	0
Al-Fajr	1	1	0	0	0
Al-Faruo Battalion	4	0	0	2	0.5
al-Fatah	56	87	211	18	0.321428571428571
Al-Fatihin Army (AFA)	1	0	3	0	0
al-Gama'at al-Islamiyya (IG)	259	492	347	10	0.0386100386100386
Al-Hamas Mujahideen	1	0	0	0	0
Al-Haramayn Brigades	3	10	150	0	0
al-Intiqami al-Pakistani	2	9	24	0	0
Al-Ittihaad al-Islami (AIAI)	5	23	41	2	0.4
al-Jub Tribe	1	0	0	0	0
Al-Khobar	5	11	39	0	0
Al-Ma'unah	2	2	0	0	0
Al-Madina	4	4	24	0	0
Al-Mansoorian	16	67	126	0	0
al-Marabitun Revolutionary Committee	1	0	0	0	0
Al-Masni Tribe	1	0	0	1	1
Al-Mujahedin Brigades (Palestine)	1	0	0	0	0
al-Nadir	1	5	40	0	0
Al-Nasireen Group	2	8	36	0	0
Al-Nawaz	1	2	10	0	0
Al-Qa'ida in Lebanon	1	0	1	0	0
Al-Qa'ida in Saudi Arabia	7	62.99999999	216	3	0.428571428571429
Al-Qa'ida Network for Southwestern Khulna Division	2	0	1	0	0
Al-Qa`ida	57	3594	4923	18	0.315789473684211
Al-Qa`ida in Iraq	200	2245	4684.99999999	23	0.115
Al-Qa`ida in the Arabian Peninsula (AQAP)	131	642	427	10	0.0763358778625954
Al-Qa`ida in the Lands of the Islamic Maghreb (AQLIM)	184	657	947	24	0.130434782608696
Al-Qa’ida in Yemen	12	49	35	7	0.583333333333333
Al-Qa’ida Organization for Jihad in Sweden	1	0	0	1	1
Al-Qassam Brigades	2	2	2	1	0.5
Al-Sa'iqa	2	1	0	2	1
Al-Sadr Brigades	3	0	0	3	1
Al-Shabaab	323	955	1269.000000001	33	0.102167182662539
Al-Shabaab al-Mu'minin	4	6	9	1	0.25
Al-Shuda Brigade	1	8	2	0	0
